Order_ID,Order_Date,Order_Priority,Customer_ID,Product_Category,Product_Name,City,Ship_Mode,Ship_Date,Discount,Unit_Price,Quantity_ordered_new,Product_Base_Margin,Shipping_Cost,Sales,Profit
89297,24-05-2013,Critical,274,Office Supplies,Staples Metal Binder Clips,San Jose,Regular Air,26-05-2013,0.09,2.62,5,0.39,0.8,12.77,6.46
89830,11-05-2011,Medium,310,Office Supplies,GBC DocuBind 200 Manual Binding Machine,Lawndale,Regular Air,13-05-2011,0,420.98,2,0.35,19.99,867.22,416.0155
89830,11-05-2011,Medium,310,Office Supplies,Xerox 1993,Lawndale,Regular Air,12-05-2011,0.02,6.48,16,0.36,9.68,110.21,-238.45
89831,14-05-2012,Critical,310,Office Supplies,GBC VeloBinder Strips,Lawndale,Regular Air,15-05-2012,0.09,7.68,9,0.35,6.16,67.1,-56.1085
89832,20-08-2012,Low,310,Technology,Canon F603 Scientific Calculator,Lawndale,Express Air,27-08-2012,0.09,9.99,7,0.36,6.24,78.82,-8.419164
89833,10-11-2012,Critical,310,Furniture,Magna Visual Magnetic Picture Hangers,Lawndale,Regular Air,11-11-2012,0.03,4.82,37,0.47,5.72,179.64,28.848
89834,22-06-2013,Medium,310,Office Supplies,Xerox 1899,Lawndale,Regular Air,23-06-2013,0.08,5.78,18,0.36,4.96,104.28,-57.16
89830,11-05-2011,Medium,311,Office Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Lemon Grove,Regular Air,13-05-2011,0.07,36.55,17,0.41,13.89,588.55,202.68
89168,21-07-2011,Low,313,Office Supplies,"Snap-A-Way? Black Print Carbonless Ruled Speed Letter, Triplicate",Foster City,Regular Air,26-07-2011,0.01,37.94,6,0.38,5.08,226.81,156.4989
89169,10-09-2011,Not Specified,313,Furniture,Hon 4070 Series Pagoda? Round Back Stacking Chairs,Foster City,Delivery Truck,11-09-2011,0.05,320.98,10,0.57,58.95,3076.1,803.48
89170,03-03-2013,Not Specified,313,Office Supplies,Avery Hole Reinforcements,Foster City,Regular Air,05-03-2013,0.05,6.23,5,0.36,6.97,33.62,-74.4395
89172,07-08-2013,Medium,313,Technology,Okidata ML591 Wide Format Dot Matrix Printer,Foster City,Delivery Truck,09-08-2013,0.09,810.98,14,0.56,16.06,11055.12,7628.0328
89173,07-12-2013,Low,313,Office Supplies,"Carina Mini System Audio Rack, Model AR050B",Foster City,Regular Air,12-12-2013,0.1,110.98,1,0.82,35,119.38,-79.03056
86041,17-06-2010,Not Specified,317,Furniture,"Eldon? Expressions? Wood Desk Accessories, Oak",Lemon Grove,Regular Air,18-06-2010,0.09,7.38,9,0.56,5.21,66.55,-27.16
86041,17-06-2010,Not Specified,317,Office Supplies,Xerox 193,Lemon Grove,Regular Air,18-06-2010,0.04,5.98,17,0.36,5.15,103.49,-52.344
86041,17-06-2010,Not Specified,317,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Lemon Grove,Regular Air,18-06-2010,0.04,15.42,12,0.58,10.68,192.18,-119.936
86044,17-11-2013,Not Specified,317,Furniture,Hon 2090 ?Pillow Soft? Series Mid Back Swivel/Tilt Chairs,Lemon Grove,Delivery Truck,19-11-2013,0.05,280.98,5,0.78,57,1475.58,207.988
86044,17-11-2013,Not Specified,317,Office Supplies,Project Tote Personal File,Lemon Grove,Regular Air,18-11-2013,0.09,14.03,43,0.56,9.37,562.88,105.15168
87348,01-01-2011,Medium,360,Office Supplies,Xerox 1898,Fresno,Regular Air,03-01-2011,0.01,6.68,11,0.37,6.92,75.24,-152.6068
87351,10-03-2012,Critical,360,Furniture,Bretford CR4500 Series Slim Rectangular Table,Fresno,Delivery Truck,12-03-2012,0.02,348.21,13,0.62,40.19,3664.71,2528.6499
87352,05-12-2012,High,360,Office Supplies,Rediform S.O.S. Phone Message Books,Fresno,Regular Air,06-12-2012,0,4.98,7,0.36,0.8,35.99,24.8331
87353,07-01-2013,Low,360,Technology,i1000,Fresno,Regular Air,11-01-2013,0.05,65.99,9,0.58,5.99,519.3,323.57304
90292,11-10-2010,Low,369,Furniture,"Executive Impressions 13"" Clairmont Wall Clock",Oakland,Express Air,13-10-2010,0.09,19.23,21,0.44,6.15,394.1,211.232
90294,03-03-2013,Critical,369,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Oakland,Regular Air,05-03-2013,0.04,110.98,11,0.69,13.99,1269.37,820.94
90294,03-03-2013,Critical,369,Office Supplies,Xerox 1961,Oakland,Regular Air,05-03-2013,0,4.98,1,0.38,7.54,6.54,-24.43
90294,03-03-2013,Critical,369,Office Supplies,Colored Push Pins,Oakland,Regular Air,03-03-2013,0.09,1.81,6,0.49,1.56,10.6,-18.57
90295,14-08-2013,Critical,369,Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Oakland,Delivery Truck,16-08-2013,0.04,70.98,23,,26.85,1706.04,377.02648
90295,14-08-2013,Critical,369,Office Supplies,Xerox 1893,Oakland,Regular Air,15-08-2013,0.03,40.99,16,0.36,17.48,677,363.06312
87805,03-04-2011,Low,401,Furniture,Bush Mission Pointe Library,Lodi,Delivery Truck,03-04-2011,0.03,150.98,12,0.65,66.27,1774.7,-1061.68
87806,22-09-2012,Medium,401,Office Supplies,Xerox 1905,Lodi,Regular Air,23-09-2012,0.04,6.48,17,0.37,9.54,114.76,-189.33
87806,22-09-2012,Medium,401,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Lodi,Express Air,22-09-2012,0.09,15.42,16,0.58,10.68,236.5,-185.8
87807,01-10-2012,Critical,402,Office Supplies,Xerox 1993,Long Beach,Regular Air,01-10-2012,0.1,6.48,8,0.36,9.68,51.5,-110.3436
87807,01-10-2012,Critical,402,Technology,Accessory8,Long Beach,Regular Air,03-10-2012,0.06,85.99,10,0.39,1.25,714.54,460.04508
87808,22-01-2013,Medium,402,Office Supplies,Round Ring Binders,Long Beach,Regular Air,23-01-2013,0.08,2.08,1,0.38,1.49,2.25,-6.14606
87810,27-09-2013,Low,402,Office Supplies,Binder Posts,Long Beach,Regular Air,04-10-2013,0.07,5.74,3,0.39,5.01,19.66,-15.8171
87810,27-09-2013,Low,402,Technology,"Memorex 80 Minute CD-R Spindle, 100/Pack",Long Beach,Express Air,04-10-2013,0.01,43.98,19,0.44,1.99,873.76,602.8944
87905,04-05-2010,High,411,Office Supplies,"Hot File? 7-Pocket, Floor Stand",Oakland,Express Air,07-05-2010,0.05,178.47,9,0.55,19.99,1531.31,943
87704,16-03-2012,Not Specified,417,Office Supplies,Hanging Personal Folder File,San Luis Obispo,Regular Air,16-03-2012,0.1,15.7,7,0.6,11.25,108.13,-156.76
87705,04-08-2012,Not Specified,417,Office Supplies,Newell 343,San Luis Obispo,Express Air,06-08-2012,0.02,2.94,20,0.58,0.96,62.36,18.7812
87705,04-08-2012,Not Specified,417,Office Supplies,Assorted Color Push Pins,San Luis Obispo,Regular Air,05-08-2012,0.07,1.81,3,0.52,0.75,5.58,-1.3624
87707,20-07-2013,Low,417,Office Supplies,Avery 506,San Luis Obispo,Regular Air,27-07-2013,0.01,4.13,7,0.39,0.5,31.09,21.4521
87707,20-07-2013,Low,417,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,San Luis Obispo,Regular Air,29-07-2013,0.04,209.84,4,0.59,21.21,869.9,600.231
87708,14-08-2013,High,417,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders,San Luis Obispo,Regular Air,16-08-2013,0.04,3.36,3,0.4,6.27,13.54,-10.839348
87701,17-01-2011,Not Specified,418,Office Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",San Mateo,Regular Air,18-01-2011,0.04,13.9,10,0.56,7.59,140.63,-101.122
87702,13-05-2011,Low,418,Technology,Okidata ML184 Turbo Dot Matrix Printers,San Mateo,Delivery Truck,20-05-2011,0.04,306.14,9,0.56,26.53,2760.4,1494.01
87702,13-05-2011,Low,418,Office Supplies,Xerox 197,San Mateo,Regular Air,17-05-2011,0,30.98,15,0.4,17.08,489.69,65.01
87703,10-10-2011,Low,418,Office Supplies,Xerox 1920,San Mateo,Regular Air,15-10-2011,0.03,5.98,4,0.4,7.5,28.58,-36.666
90697,05-11-2011,Not Specified,430,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,San Ramon,Regular Air,06-11-2011,0,6.81,26,0.37,5.48,192.28,7.4405
90698,03-09-2012,High,430,Office Supplies,Honeywell Enviracaire? Portable Air Cleaner for up to 8 x 10 Room,San Ramon,Regular Air,04-09-2012,0.03,76.72,24,0.54,19.95,1813.68,541.92
90698,03-09-2012,High,430,Office Supplies,Staples? General Use 3-Ring Binders,San Ramon,Regular Air,05-09-2012,0.1,1.88,14,0.37,1.49,26.06,-15.1225
90702,05-05-2013,High,430,Furniture,Office Star - Task Chair with Contemporary Loop Arms,San Ramon,Delivery Truck,05-05-2013,0.02,90.98,16,0.61,30,1493.63,195.04
90703,01-06-2013,Low,430,Office Supplies,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",San Ramon,Regular Air,08-06-2013,0.09,12.97,16,0.35,1.49,198.28,136.8132
90703,01-06-2013,Low,430,Technology,Fuji Slim Jewel Case CD-R,San Ramon,Express Air,06-06-2013,0.06,2.12,9,0.55,1.99,22.76,-20.52
90700,21-11-2012,Not Specified,431,Office Supplies,Surelock? Post Binders,Santa Ana,Regular Air,22-11-2012,0.1,30.56,5,0.35,2.99,147.15,62.3458
90700,21-11-2012,Not Specified,431,Technology,Keytronic 105-Key Spanish Keyboard,Santa Ana,Regular Air,22-11-2012,0,73.98,13,0.67,12.14,972.26,34.732
90701,03-12-2012,Low,431,Technology,252,Santa Ana,Regular Air,10-12-2012,0.03,65.99,17,0.55,5.92,973.71,671.8599
86020,27-12-2011,Medium,450,Office Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Long Beach,Regular Air,29-12-2011,0.03,36.55,16,0.41,13.89,619.17,391.305
86022,20-08-2012,Medium,450,Technology,iDENi80s,Long Beach,Regular Air,22-08-2012,0.09,65.99,11,0.59,19.99,581.2,-148.005
86010,10-04-2010,High,451,Technology,"210 Trimline Phone, White",Los Altos,Regular Air,11-04-2010,0.03,15.99,2,0.38,11.28,35.48,-53.2962
86012,27-05-2010,Critical,451,Office Supplies,Vinyl Sectional Post Binders,Los Altos,Regular Air,28-05-2010,0.04,37.7,12,0.35,2.99,434.31,299.6739
86013,05-07-2010,Low,451,Office Supplies,GBC Instant Index? System for Binding Systems,Los Altos,Regular Air,10-07-2010,0.01,8.88,2,0.35,6.28,19.86,-15.456
86013,05-07-2010,Low,451,Office Supplies,Avery 514,Los Altos,Regular Air,14-07-2010,0.06,2.88,8,0.36,0.99,23.26,16.0494
86016,04-07-2011,Low,451,Technology,Belkin 105-Key Black Keyboard,Los Altos,Regular Air,11-07-2011,0.09,19.98,2,0.68,4,40.87,-65.67
86018,08-10-2011,Not Specified,451,Technology,Maxell DVD-RAM Discs,Los Altos,Regular Air,09-10-2011,0,16.48,14,0.42,1.99,231.62,157.0348
86026,21-05-2013,Critical,451,Office Supplies,Accohide Poly Flexible Ring Binders,Los Altos,Regular Air,22-05-2013,0.09,3.74,7,0.35,4.69,26.82,-60.9615
86012,27-05-2010,Critical,452,Technology,Accessory36,Los Banos,Regular Air,28-05-2010,0.01,55.99,1,0.83,5,51.83,-235.895
86017,20-09-2011,Low,452,Furniture,BPI Conference Tables,Los Banos,Delivery Truck,24-09-2011,0.01,146.05,19,0.71,80.2,2839.31,-1704.89
86024,03-10-2012,Critical,452,Office Supplies,"Elite 5"" Scissors",Los Banos,Regular Air,05-10-2012,0.04,8.45,25,0.55,7.77,206.69,-242.3628
86024,03-10-2012,Critical,452,Technology,282,Los Banos,Regular Air,05-10-2012,0.04,115.99,8,0.56,4.23,810.18,223.04664
86011,08-05-2010,Not Specified,453,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",Los Gatos,Regular Air,10-05-2010,0.03,29.34,1,0.54,7.87,32.4,-41.32
86019,16-12-2011,Medium,453,Technology,V2397,Los Gatos,Express Air,18-12-2011,0.07,125.99,4,0.58,2.5,424.67,-129.426
86023,24-09-2012,Low,453,Technology,"Memorex 4.7GB DVD-RAM, 3/Pack",Los Gatos,Regular Air,28-09-2012,0.06,31.78,20,0.42,1.99,633.31,436.9839
86023,24-09-2012,Low,453,Office Supplies,Xerox 1989,Los Gatos,Regular Air,26-09-2012,0.06,4.98,1,0.38,5.02,6.45,-11.36
86023,24-09-2012,Low,453,Office Supplies,Berol Giant Pencil Sharpener,Los Gatos,Regular Air,28-09-2012,0.06,16.99,17,0.56,8.99,286.73,-91.31
86023,24-09-2012,Low,453,Furniture,Hon 2111 Invitation? Series Corner Table,Los Gatos,Regular Air,03-10-2012,0,209.37,9,0.79,69,2011.23,-626.45
86029,07-07-2013,Critical,453,Technology,8890,Los Gatos,Regular Air,07-07-2013,0.07,115.99,15,0.58,5.92,1485.38,1024.9122
86033,27-12-2013,Medium,453,Office Supplies,Newell 326,Los Gatos,Express Air,28-12-2013,0.02,1.76,11,0.56,0.7,22.61,7.67104
86021,31-05-2012,Critical,454,Technology,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Manhattan Beach,Express Air,02-06-2012,0.01,15.98,10,0.64,8.99,168.37,-125.8
86021,31-05-2012,Critical,454,Office Supplies,Xerox 1881,Manhattan Beach,Regular Air,02-06-2012,0.08,12.28,18,0.38,6.47,205.94,-10.84
86021,31-05-2012,Critical,454,Office Supplies,Xerox 19,Manhattan Beach,Express Air,02-06-2012,0.1,30.98,5,0.4,5.09,148.45,84.53
86028,12-06-2013,Critical,454,Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer,Manhattan Beach,Regular Air,14-06-2013,0.09,46.89,14,0.46,5.1,647.05,446.4645
86028,12-06-2013,Critical,454,Furniture,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Manhattan Beach,Regular Air,13-06-2013,0.05,6.64,19,0.37,4.95,131.32,-30.432
86030,12-08-2013,Medium,454,Furniture,"DAX Copper Panel Document Frame, 5 x 7 Size",Manhattan Beach,Regular Air,12-08-2013,0,12.58,25,0.43,5.16,323.42,222.48392
86031,15-08-2013,High,454,Office Supplies,"Hot File? 7-Pocket, Floor Stand",Manhattan Beach,Regular Air,16-08-2013,0.08,178.47,15,0.55,19.99,2645.29,1825.2501
88061,14-07-2010,Low,463,Office Supplies,Economy Rollaway Files,West Hollywood,Regular Air,16-07-2010,0.07,165.2,7,0.59,19.99,1081.54,521.69
